2020-04-27 22:04:362 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-27 22:04:102 INFO  HomePage :39 - click on customer log in :[[ChromeDriver: chrome on WINDOWS (140626236145a0f3f8481dcda80fc64e)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-27 22:04:826 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-27 22:04:364 INFO  BrowserSelector :23 - Launching Chrome Browser
2020-04-27 22:04:694 INFO  HomePage :46 - click on bank manager login:[[ChromeDriver: chrome on WINDOWS (82d711830a5503fbd66393e7df9bce8c)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-27 22:04:26 INFO  BankManagerPage :37 - click in add customer tab[[ChromeDriver: chrome on WINDOWS (82d711830a5503fbd66393e7df9bce8c)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-27 22:04:656 INFO  AddCustomerPage :40 - enter first name[[ChromeDriver: chrome on WINDOWS (82d711830a5503fbd66393e7df9bce8c)] -> xpath: //input[@placeholder='First Name']]to the field[[ChromeDriver: chrome on WINDOWS (82d711830a5503fbd66393e7df9bce8c)] -> xpath: //input[@placeholder='First Name']]
2020-04-27 22:04:983 INFO  AddCustomerPage :45 - enter last name[[ChromeDriver: chrome on WINDOWS (82d711830a5503fbd66393e7df9bce8c)] -> xpath: //input[@placeholder='Last Name']]to the field[[ChromeDriver: chrome on WINDOWS (82d711830a5503fbd66393e7df9bce8c)] -> xpath: //input[@placeholder='Last Name']]
2020-04-27 22:04:293 INFO  AddCustomerPage :51 - enter postcode[[ChromeDriver: chrome on WINDOWS (82d711830a5503fbd66393e7df9bce8c)] -> xpath: //input[@placeholder='Post Code']]to the field[[ChromeDriver: chrome on WINDOWS (82d711830a5503fbd66393e7df9bce8c)] -> xpath: //input[@placeholder='Post Code']]
2020-04-27 22:04:602 INFO  AddCustomerPage :60 - click on add customer btn[[ChromeDriver: chrome on WINDOWS (82d711830a5503fbd66393e7df9bce8c)] -> xpath: //button[@class='btn btn-default']]
2020-04-27 22:04:838 INFO  BrowserSelector :23 - Launching Chrome Browser
